Entity,http://www.w3.org/2000/01/rdf-schema#label,https://www.fns-cloud.eu/foodComponents/FNS_H_0000003000,
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003126,"'Palmitooleinska kislina (MK 16:1 omega-7 cis)'	'fatty acid 16:1 n-7 cis (palmitoleic acid)'","'F16:1CN7'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003127,"'fatty acid 16:1 n-9 cis'	'MK 16:1 omega-9 cis'","'F16:1CN9'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003128,"'MK 16:1 iso'	'fatty acid 16:1 iso'","'F16:1I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003129,"'fatty acid 16:1 remainder'	'MK 16:1 preostanek'","'F16:1R'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003130,"'fatty acid 16:1 n-7 trans'	'MK 16:1 omega-7 trans'","'F16:1TN7'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003131,"'MK 16:1 trans'	'fatty acid 16:1 trans'","'F16:1TRS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003132,"'MK 16:2'	'fatty acid 16:2'","'F16:2'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003133,"'fatty acid 16:3'	'MK 16:3'","'F16:3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003134,"'MK 16:4'	'fatty acid 16:4'","'F16:4'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003135,"'fatty acid 16:unidentified'	'MK 16:neidentificirana'","'F16:UN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003136,"'Margarinska kislina (MK 17:0)'	'fatty acid 17:0 (margaric acid)'","'F17:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003137,"'fatty acid 17:0 anteiso'","'F17:0AI'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003138,"'fatty acid 17:0 iso'","'F17:0I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003139,"'Heptadekaenojska kislina (MK 17:1)'	'fatty acid 17:1 (heptadecenoic acid)'","'F17:1'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003140,"'fatty acid 17:1 n-8 cis'	'MK 17:1 omega-8 cis'","'F17:1CN8'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003141,"'Stearinska kislina (MK 18:0)'	'fatty acid 18:0 (stearic acid)'","'F18:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003142,"'fatty acid 18:0 anteiso'","'F18:0AI'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003143,"'fatty acid 18:0 iso'","'F18:0I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003144,"'fatty acid 18:1 (octadecenoic acid)'	'Oktadekaenojska kislina MK 18:1)'","'F18:1'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003145,"'MK 18:1 cis'	'fatty acid 18:1 cis'","'F18:1CIS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003146,"'MK 18:1 omega-10 cis'	'fatty acid 18:1 n-10 cis'","'F18:1CN10'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003147,"'MK 18:1 omega-11 cis'	'fatty acid 18:1 n-11 cis'","'F18:1CN11'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003148,"'fatty acid 18:1 n-12 cis'	'MK 18:1 omega-12 cis'","'F18:1CN12'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003149,"'fatty acid 18:1 n-13 cis'	'MK 18:1 omega-13 cis'","'F18:1CN13'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003150,"'fatty acid 18:1 n-3 cis'	'MK 18:1 omega-3 cis'","'F18:1CN3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003151,"'MK 18:1 omega-4 cis'	'fatty acid 18:1 n-4 cis'","'F18:1CN4'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003152,"'MK 18:1 omega-5 cis'	'fatty acid 18:1 n-5 cis'","'F18:1CN5'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003153,"'MK 18:1 omega-6 cis'	'fatty acid 18:1 n-6 cis'","'F18:1CN6'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003154,"'MK 18:1 omega-7 cis'	'fatty acid 18:1 n-7 cis'","'F18:1CN7'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003155,"'fatty acid 18:1 n-8 cis'	'MK 18:1 omega-8 cis'","'F18:1CN8'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003156,"'fatty acid 18:1 n-9 cis (oleic acid)'	'Oleinska kislina (MK 18:1 omega-9 cis)'","'F18:1CN9'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003157,"'MK 18:1 iso'	'fatty acid 18:1 iso'","'F18:1I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003158,"'Ricinolejska kislina (MK 18:1 OH omega-7)'	'fatty acid 18:1 OH n-7 (ricinoleic acid)'","'F18:1N9O'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003159,"'fatty acid 18:1 remainder'	'MK 18:1 preostanek'","'F18:1R'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003160,"'MK 18:1 omega-10 trans'	'fatty acid 18:1 n-10 trans'","'F18:1TN10'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003161,"'fatty acid 18:1 n-11 trans'	'MK 18:1 omega-11 trans'","'F18:1TN11'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003162,"'MK18:1 omega-12 trans'	'fatty acid 18:1 n-12 trans'","'F18:1TN12'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003163,"'MK 18:1 omega-2 trans'	'fatty acid 18:1 n-2 trans'","'F18:1TN2'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003164,"'MK 18:1 omega-3 trans'	'fatty acid 18:1 n-3 trans'","'F18:1TN3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003165,"'MK 18:1 omega-4 trans'	'fatty acid 18:1 n-4 trans'","'F18:1TN4'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003166,"'fatty acid 18:1 n-5 trans'	'MK 18:1 omega-5 trans'","'F18:1TN5'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003167,"'fatty acid 18:1 n-6 trans'	'MK 18:1 omega-6 trans'","'F18:1TN6'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003168,"'fatty acid 18:1 n-7 trans'	'MK 18:1 omega-7 trans'","'F18:1TN7'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003169,"'MK 18:1 omega-8 trans'	'fatty acid 18:1 n-8 trans'","'F18:1TN8'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003170,"'fatty acid 18:1 n-9 trans (elaidic acid)'	'Elaidinska kislina (MK 18:1 omega-9 trans)'","'F18:1TN9'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003171,"'fatty acid 18:1 total trans'	'MK18:1 skupne trans'","'F18:1TRS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003172,"'fatty acid 18:2'	'MK 18:2'","'F18:2'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003173,"'fatty acid 18:2 n-6 cis,cis'	'Linolna kislina (MK 18:2 omega-6 cis,cis)'","'F18:2CN6'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003174,"'MK 18:2 omega-9 cis,cis'	'fatty acid 18:2 n-9 cis,cis'","'F18:2CN9'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003175,"'fatty acid 18:2 conjugated'	'Konjugirana linolna kislina - CLA (MK 18:2)'","'F18:2CON'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003176,"'MK 18:2 cis in trans'	'fatty acid 18:2 cis + trans'","'F18:2CT'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003177,"'MK 18:2 iso'	'fatty acid 18:2 iso'","'F18:2I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003178,"'fatty acid 18:2 remainder'	'MK 18:2 preostanek'","'F18:2R'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003179,"'MK 18:2 trans in cis'	'fatty acid 18:2 trans + cis'","'F18:2TC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003180,"'fatty acid 18:2 trans'	'MK 18:2 trans'","'F18:2TRS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003181,"'MK 18:2 omega-6 trans, trans'	'fatty acid 18:2 n-6 trans,trans'","'F18:2TTN6'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003182,"'MK 18:3'	'fatty acid 18:3'","'F18:3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003183,"'fatty acid 18:3 n-3 all-cis'	'Alfa-linolenska kislina (MK 18:3 omega-3 vse cis)'","'F18:3CN3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003184,"'fatty acid 18:3 n-6 all-cis'	'Gama-linolenska kislina (MK 18:3 omega-6 vse cis)'","'F18:3CN6'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003185,"'fatty acid 18:3 n-3'	'MK 18:3 omega-3'","'F18:3N3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003186,"'MK 18:3 omega-6'	'fatty acid 18:3 n-6'","'F18:3N6'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003187,"'MK 18:3 omega-3 vse trans'	'fatty acid 18:3 n-3 all-trans'","'F18:3TTTN3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003188,"'MK 18:4'	'fatty acid 18:4'","'F18:4'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003189,"'fatty acid 18:4 n-3 all-cis'	'MK 18:4 omega-3 vse cis'","'F18:4CN3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003190,"'MK 18:4 omega-3'	'fatty acid 18:4 n-3'","'F18:4N3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003191,"'MK 19:0'	'fatty acid 19:0'","'F19:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003192,"'fatty acid 20:0 (arachidic acid)'	'Arahidinska kislina (MK 20:0)'","'F20:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003193,"'fatty acid 20:0 iso'","'F20:0I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003194,"'Eikozaenojska kislina (MK 20:1)'	'fatty acid 20:1 (eicosenoic acid)'","'F20:1'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003195,"'MK 20:1 cis'	'fatty acid 20:1 cis'","'F20:1CIS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003196,"'MK 20:1 omega-11 cis'	'fatty acid 20:1 n-11 cis'","'F20:1CN11'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003197,"'MK 20:1 omega-9 cis'	'fatty acid 20:1 n-9 cis'","'F20:1CN9'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003198,"'fatty acid 20:1 n-11 trans'	'MK 20:1 omega-11 trans'","'F20:1TN11'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003199,"'MK 20:1 omega-9 trans'	'fatty acid 20:1 n-9 trans'","'F20:1TN9'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003200,"'MK 20:1 trans'	'fatty acid 20:1 trans'","'F20:1TRS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003201,"'fatty acid 20:2 (eicosadienoic acid)'	'Eikozadienojska kislina (MK 20:2)'","'F20:2'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003202,"'fatty acid 20:2 n-6 cis,cis'	'MK 20:2 omega-6 cis,cis'","'F20:2CN6'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003203,"'MK 20:2 omega-6'	'fatty acid 20:2 n-6'","'F20:2N6'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003204,"'Eikozatrienojska kislina (MK 20:3)'	'fatty acid 20:3 (eicosatrienoic acid)'","'F20:3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003205,"'fatty acid 20:3 n-3 all-cis'	'MK 20:3 omega-4 vse cis'","'F20:3CN3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003206,"'MK 20:3 omega-6 vse cis'	'fatty acid 20:3 n-6 all-cis'","'F20:3CN6'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003207,"'fatty acid 20:3 n-9 all-cis'	'MK 20:3 omega-9 vse cis'","'F20:3CN9'",
